anahtar,grup,turkce,ingilizce,nerede
t3c819dd0,arayuz,"Taşın","Move","apps/web/src/screens/Sehir.tsx:530"
tf3733180,arayuz,"taze · {0} önce","fresh · {0} ago","apps/web/src/screens/Harita.tsx:498"
t82fd453f,arayuz,"Tecrübeli","Veteran","apps/web/src/screens/LordEkrani.tsx:130"
t215646a3,arayuz,"tek araştırma","single research","apps/web/src/screens/Arastirma.tsx:102"
tab91fc48,arayuz,"Tek başına oynamak zorunda değilsin. İttifak üyeleri birbirine saldıramaz.","You don't have to play alone. Alliance members cannot attack each other.","apps/web/src/screens/Ittifak.tsx:323"
ta911b47f,arayuz,"Teklif edilebilecek başka ittifak yok.","No other alliance to offer to.","apps/web/src/components/Paktlar.tsx:167"
t6140f977,arayuz,"Teknik ayrıntı","Technical detail","apps/web/src/components/HataSiniri.tsx:47"
tf097e35c,arayuz,"toplam şöhret","total fame","apps/web/src/screens/Ittifak.tsx:243"
tb3825c17,arayuz,"Toplam{0}{1}{2}birim öldü · tohum {3}","Total{0}{1}{2}units died · seed {3}","apps/web/src/components/SavasRaporu.tsx:582"
tbd670cd2,arayuz,"toprağın güvende","your land is safe","apps/web/src/components/Omurga.tsx:700"
ta971096d,arayuz,"toprak riski yok","no land risk","apps/web/src/components/Omurga.tsx:736"
tde533a1f,arayuz,"Topraklarım{0}","My Lands{0}","apps/web/src/screens/Malikane.tsx:158"
tf96873aa,arayuz,"TUR {0}","ROUND {0}","apps/web/src/components/SavasRaporu.tsx:128"
te2ee684f,arayuz,"Tur Tur Güç · {0} tur","Power Round by Round · {0} rounds","apps/web/src/components/SavasRaporu.tsx:505"
t0468e99c,arayuz,"Ucuz et kalkanı. Kayıpları önce o üstlenir.","Cheap meat shield. Absorbs casualties first.","apps/web/src/screens/Kisla.tsx:55"
tbeb2b0c2,arayuz,"Ucuz hasar. Mızrakçıya karşı ×1,5.","Cheap damage. ×1.5 against Spearmen.","apps/web/src/screens/Kisla.tsx:57"
t89558a23,arayuz,"Unvan","Title","apps/web/src/screens/LordEkrani.tsx:282"
ta077015d,arayuz,"Usta işi","Masterwork","apps/web/src/components/ui.tsx:264 | apps/web/src/screens/LordEkrani.tsx:130"
t9a9e52c9,arayuz,"Uzaklaştır","Zoom out","apps/web/src/components/DunyaHaritasi.tsx:803"
tf29dea21,arayuz,"uzaktaydın. Bu sürede","away. During this time","apps/web/src/screens/LordEkrani.tsx:95"
tf8038d21,arayuz,"Üç görevi de bitirince alınır ({0}/{1}).","Claimed once all three quests are finished ({0}/{1}).","apps/web/src/components/GunlukKart.tsx:159"
tf82e7a3d,arayuz,"ÜÇÜNCÜ","THIRD","apps/web/src/components/DizilimIzgarasi.tsx:53"
t4101d7cc,arayuz,"Üretim","Production","apps/web/src/screens/Demirhane.tsx:391 | apps/web/src/screens/Demirhane.tsx:410"
tced6f4a7,arayuz,"Üretimde","In Production","apps/web/src/screens/Demirhane.tsx:528"
t049fb4cf,arayuz,"üst üste giriyorsun.","","apps/web/src/components/GunlukKart.tsx:88"
tf2c62d23,arayuz,"Üstteki çubuk saldıran, alttaki savunan.","The top bar is the attacker, the bottom is the defender.","apps/web/src/components/SavasRaporu.tsx:508"
t911d6f24,arayuz,"Üyeler","Members","apps/web/src/components/IttifakIncele.tsx:89"
t58bbe7c6,arayuz,"Üyelerin şöhret toplamı. Lord sıralamasıyla aynı ölçü.","Total fame of the members. Same measure as the lord ranking.","apps/web/src/screens/Siralama.tsx:38"
t5ad62e9f,arayuz,"Vazgeç","Cancel","apps/web/src/components/IttifakDuyuru.tsx:83 | apps/web/src/components/SikayetSayfasi.tsx:114 | apps/web/src/screens/Hesap.tsx:264 | apps/web/src/screens/Medeniyet.tsx:244"
teacb0314,arayuz,"Vazgeç, giriş ekranına dön","Cancel, return to login screen","apps/web/src/screens/ParolaSifirla.tsx:71"
t4849cec4,arayuz,"ve","","apps/web/src/screens/LordEkrani.tsx:100"
t4e6aeb27,arayuz,"VERECEĞİN","YOU WILL GIVE","apps/web/src/components/Pazar.tsx:110"
t425f7eef,arayuz,"Verilerine erişmek ya da başka bir talepte bulunmak istersen kayıt olduğun e-posta adresinden bize yazman yeterli.","If you want to access your data or make any other request, writing to us from the email address you signed up with is enough.","apps/web/src/screens/Gizlilik.tsx:130"
tc0bd27c2,arayuz,"Vurucu güç ve hız. Okçuya karşı ×1,5.","Striking power and speed. ×1.5 against Archers.","apps/web/src/screens/Kisla.tsx:58"
te30b10c9,arayuz,"vuruyor","hitting","apps/web/src/components/KarsiIpuclari.tsx:87"
t48ccccf2,arayuz,"yağma","loot","apps/web/src/components/DunyaSeridi.tsx:139 | apps/web/src/components/DunyaSeridi.tsx:175 | packages/shared/src/etki-adi.ts:31"
t884b8a52,arayuz,"Yağma","Loot","apps/web/src/components/SavasRaporu.tsx:542"
tea3bde58,arayuz,"Yağma +%{0}","Loot +{0}%","apps/web/src/screens/LordEkrani.tsx:59"
t8e60ca24,arayuz,"yağma alır","takes loot","apps/web/src/components/DunyaSeridi.tsx:131 | apps/web/src/components/DunyaSeridi.tsx:166"
ta24bd532,arayuz,"Yağmalanabilir depo","Lootable storage","apps/web/src/screens/Harita.tsx:1224"
t88e04ff0,arayuz,"Yakınlaştır","Zoom in","apps/web/src/components/DunyaHaritasi.tsx:798"
tb03a2482,arayuz,"Yalnız","","apps/web/src/screens/Medeniyet.tsx:209"
t7eadadf4,arayuz,"yanıt bekleniyor","awaiting reply","apps/web/src/components/Paktlar.tsx:137"
tb27f14d4,arayuz,"yapı","structure","apps/web/src/screens/Sehir.tsx:932"
tdd99127b,arayuz,"Yapılar","Structures","apps/web/src/screens/Sehir.tsx:599"
td55cc683,arayuz,"Yaralı — {0} tarihine kadar dinleniyor.","Wounded — resting until {0}.","apps/web/src/screens/Generaller.tsx:104"
tc6d3b17d,arayuz,"yarım","half","apps/web/src/components/SavasRaporu.tsx:410"
t786f173c,arayuz,"YAŞLI","ELDER","apps/web/src/components/IttifakIncele.tsx:97"
t3ada2cd6,arayuz,"YAŞLI YAP","MAKE ELDER","apps/web/src/screens/Ittifak.tsx:102"
tc4aede4f,arayuz,"Yaz","Type","apps/web/src/components/IttifakSohbet.tsx:142"
ta45efa0f,arayuz,"YAZ","WRITE","apps/web/src/components/IttifakDuyuru.tsx:62"
tc999bb1a,arayuz,"yeni","new","apps/web/src/components/Basarimlar.tsx:74"
t0dbf3afc,arayuz,"yeni bir hedef seç","choose a new target","apps/web/src/components/Omurga.tsx:682"
td5185ac1,arayuz,"Yeni bir pakt için önce birini feshetmen gerekiyor.","For a new pact, you must first dissolve one.","apps/web/src/components/Paktlar.tsx:164"
tb04c6611,arayuz,"Yeni ele geçirilmiş ya da yeni oyuncuya ait bölgelere bir süre saldırılamaz.","Newly captured regions or those belonging to new players cannot be attacked for a while.","apps/web/src/screens/Harita.tsx:770"
t3b0cfa0d,arayuz,"Yeni Lord","New Lord","apps/web/src/screens/Giris.tsx:204"
t62db8630,arayuz,"Yeni lord kalkanı","New lord shield","apps/web/src/screens/Malikane.tsx:136"
tf0f4d369,arayuz,"Yeni lordlar 72 saat saldırıya kapalıdır.","New lords are immune to attacks for 72 hours.","apps/web/src/screens/Giris.tsx:302"
t6187848c,arayuz,"YENİ PAKT TEKLİF ET","OFFER NEW PACT","apps/web/src/components/Paktlar.tsx:155"
t58a2ac21,arayuz,"Yeni parola","New password","apps/web/src/screens/Hesap.tsx:195 | apps/web/src/screens/ParolaSifirla.tsx:46"
ta3f5ffa2,arayuz,"Yeni parola çok kısa","New password is too short","apps/web/src/screens/Hesap.tsx:85"
tf46d6ce7,arayuz,"Yeni parolanı belirle","Set your new password","apps/web/src/screens/ParolaSifirla.tsx:32"
t30cd1f85,arayuz,"Yeniden dene","Try again","apps/web/src/App.tsx:397"
t56d9b3e2,arayuz,"yenilgi","defeat","apps/web/src/screens/Akin.tsx:189"
t1ff6091c,arayuz,"YENİLGİ","DEFEAT","apps/web/src/components/SaldiriOnizleme.tsx:75 | apps/web/src/components/SavasRaporu.tsx:477 | apps/web/src/screens/Harita.tsx:1410"
t47e174c5,arayuz,"Yerine koymak","To replace","apps/web/src/components/SaldiriOnizleme.tsx:174"
t46b8c0de,arayuz,"yok","none","apps/web/src/components/ArmaSecici.tsx:179 | apps/web/src/screens/Gizlilik.tsx:75"
t15ceec85,arayuz,"Yok say","Ignore","apps/web/src/screens/Moderasyon.tsx:191"
tf0bd371a,arayuz,"Yola çıkıyor…","Departing…","apps/web/src/components/KaynakGonder.tsx:95 | apps/web/src/screens/Harita.tsx:377"
tb51532c7,arayuz,"Yoldaşının toprağı","","apps/web/src/screens/Harita.tsx:763"
t60a8f3a9,arayuz,"YÖNET","MANAGE","apps/web/src/screens/Malikane.tsx:223"
tfb3f07d7,arayuz,"Yönetim","Administration","apps/web/src/screens/Hesap.tsx:126"
t10956f9e,arayuz,"yukarı","up","apps/web/src/components/SaldiriOnizleme.tsx:148 | apps/web/src/components/SavasRaporu.tsx:85"
t3244c60c,arayuz,"Yukarıdaki e-posta adresine sıfırlama bağlantısı gönderelim.","Let us send a reset link to the email address above.","apps/web/src/screens/Giris.tsx:280"
tfab69aea,arayuz,"Yukarıdan kaç birim göndereceğini seç.","Select how many units to send from above.","apps/web/src/screens/Harita.tsx:776"
tf966496b,arayuz,"Yükleniyor","Loading","apps/web/src/components/DiyarTanitimi.tsx:122 | apps/web/src/components/Omurga.tsx:481 | apps/web/src/components/ui.tsx:44"
tb2582797,arayuz,"yükleniyor…","loading…","apps/web/src/components/SavasRaporu.tsx:466"
tb65d2ef7,arayuz,"Yükleniyor...","Loading...","apps/web/src/screens/Siralama.tsx:225 | apps/web/src/screens/Siralama.tsx:250"
t727a3377,arayuz,"Yükseltiliyor","Upgrading","apps/web/src/screens/Demirhane.tsx:311 | apps/web/src/screens/Demirhane.tsx:656"
tc133bd6b,arayuz,"Yükseltme","Upgrade","apps/web/src/screens/Demirhane.tsx:203"
td74150f4,arayuz,"Yükseltme sonuna geldi","Reached the end of upgrade","apps/web/src/screens/Demirhane.tsx:202"
ta98e29bf,arayuz,"Yürüyüşler","Marches","apps/web/src/screens/Harita.tsx:957"
t5753527f,arayuz,"Yürüyüşte","Marching","apps/web/src/screens/Kisla.tsx:500"
tdd948d11,arayuz,"zafer","victory","apps/web/src/screens/Akin.tsx:189"
tc31c9cb1,arayuz,"ZAFER","VICTORY","apps/web/src/components/SaldiriOnizleme.tsx:75 | apps/web/src/components/SavasRaporu.tsx:477 | apps/web/src/screens/Harita.tsx:1410"
t69e973b0,arayuz,"Zafer ihtimali","Chance of victory","apps/web/src/components/SaldiriOnizleme.tsx:83"
t7626de64,arayuz,"zayıf ihtimal","slim chance","apps/web/src/components/SaldiriOnizleme.tsx:47"
t9c828d99,arayuz,"Zemin rengi","Background color","apps/web/src/components/ArmaSecici.tsx:147"
tded912ae,arayuz,"Zırh","Armor","apps/web/src/screens/Demirhane.tsx:62 | apps/web/src/screens/LordEkrani.tsx:73"
t154e9396,motor," Sebep: {0}"," Reason: {0}","packages/shared/src/moderasyon.ts:170"
t335dc8d5,motor,"""Başka bir sebep"" seçtiysen en az {0} harfle açıkla.","If you selected ""Another reason"", explain with at least {0} characters.","packages/shared/src/moderasyon.ts:92"
tf4e6dc26,motor,"""Şimdi ne yapmalısın""","""What you should do now""","packages/shared/src/ogretici.ts:590"
t293e1f2d,motor,"{0} altına bir bölgeye casus gönderip garnizonunu öğrenebilirsin. Rapor bir fotoğraftır: {1} saat sonra ""eski"" diye işaretlenir. Kurnazlık statın hem başarı şansını artırır hem yakalanma riskini düşürür.","For {0} gold you can send a spy to a region and learn its garrison. A report is a snapshot: after {1} hours it is marked ""old"". Your Cunning stat both raises the chance of success and lowers the risk of being caught.","packages/shared/src/ogretici.ts:385"
t3d0386c3,motor,"{0} çekirdek ele geçirilemez","","packages/shared/src/ogretici.ts:269"
t27b1f277,motor,"{0} dal, her dalda {1} kademe","{0} branches, {1} tiers in each branch","packages/shared/src/ogretici.ts:500"
t85178a8c,motor,"{0} için tavan. Daha büyük bir yerleşim gerekiyor.","Cap for {0}. A larger settlement is required.","packages/shared/src/bina.ts:248"
t62df812d,motor,"{0} kanatta konuşlandı: +{1} güç.","Deployed on the {0} flank: +{1} power.","packages/shared/src/duzen.ts:227"
tee4f2969,motor,"{0} saat yeni lord kalkanı","{0} hour new lord shield","packages/shared/src/ogretici.ts:528"
tb4bd9bd1,motor,"{0} seviye daha gerekiyor.","{0} more level(s) required.","packages/shared/src/akin.ts:287"
t06bb2684,motor,"{0}'a karşı {1}","{0} vs. {1}","packages/shared/src/duzen.ts:357"
te67fe55b,motor,"{0}x{1} bir düzlükte orduyu sen yerleştirirsin, sonra bir taktik seçersin.","You position the army on a {0}x{1} grid, then select a tactic.","packages/shared/src/ogretici.ts:343"
t9604528c,motor,"Aç ordu saatte %{0} firar verir. Tarla bölgesi almak, asker eğitmekten önce gelir.","A starving army deserts at {0}% per hour. Taking a farm region comes before training troops.","packages/shared/src/ipuclari.ts:41"
tc2e13b6e,motor,"Açıklama en fazla {0} harf olabilir.","Description can be up to {0} characters.","packages/shared/src/moderasyon.ts:87"
t8d064cc7,motor,"Adamlar kampa iniyor. Dönünce ne getirdiklerini birlikte sayarız.","The men are arriving at the camp. We'll count what they brought back together when they return.","packages/shared/src/rehber.ts:78"
t47b1cf51,motor,"Adamlar toplanıyor. Şuracıkta bekle, bittiğinde haber vereceğim.","The men are gathering. Wait right here, I'll let you know when it's done.","packages/shared/src/rehber.ts:66"
t1420b680,motor,"Akın toprak vermez, toprak da almaz. Kaybetsen bile bölgen elinde kalır — ordunu denemenin en ucuz yeri burası.","A raid gives no land and takes none. Even if you lose, your region stays yours — this is the cheapest place to test your army.","packages/shared/src/ogretici.ts:445"
tbedf3f62,motor,"Akın: toprak almadan savaşmak","Raid: fighting without taking land","packages/shared/src/ogretici.ts:439"
teeaa3109,motor,"Akına boş orduyla çıkılmaz.","You cannot go on a raid with an empty army.","packages/shared/src/akin.ts:341"
t82f0acb9,motor,"Altın ve demir","Gold and iron","packages/shared/src/ogretici.ts:288"
t23cd7cdc,motor,"Altın, demir, erzak biriktirirsin; şöhret sıralamandır.","You hoard gold, iron, and supplies; fame is your ranking.","packages/shared/src/ogretici.ts:285"
t2cd611e5,motor,"Ambarlar taştı lordum — bu saatten sonra ürettiğimiz her şey yere dökülüyor. Depoyu büyütmeden biriktirmenin anlamı yok.","The granaries have overflowed, my lord — from this hour on everything we produce spills on the ground. There is no point hoarding without enlarging the storage.","packages/shared/src/rehber.ts:102"
t751ba972,motor,"Ana sayfan bir yerleşim haritası. Binalar kapasite verir.","Your homepage is a settlement map. Buildings provide capacity.","packages/shared/src/ogretici.ts:418"
t635327a4,motor,"Araştırma ""%15 daha hızlı"" der, bina ""aynı anda 2 eğitim"" der. İkisi hiçbir zaman aynı sayıya dokunmaz — hangisini yükselteceğin ayrı bir karar.","Research says ""15% faster"", a building says ""2 trainings at once"". The two never touch the same number — which one to upgrade is a separate decision.","packages/shared/src/ogretici.ts:428"
tf6ff5d9a,motor,"Araştırma başlat","Start research","packages/shared/src/rehber.ts:172"
t09cfbed0,motor,"Araştırma bittiğinde etkisi sonsuza kadar durur — ekipman gibi eskimez, ordu gibi ölmez. Depo tavanı, eğitim hızı, ordu saldırısı, yürüyüş hızı: hepsi buradan büyür.","Once a research finishes its effect lasts forever — it does not wear out like equipment, it does not die like an army. Storage cap, training speed, army attack, march speed: they all grow from here.","packages/shared/src/ogretici.ts:511"
t6eba3fbd,motor,"Araştırma oran, bina kapasite","Research for rate, building for capacity","packages/shared/src/ogretici.ts:426"
t5c430103,motor,"Araştırma: diyarını sen şekillendirirsin","Research: you shape your realm","packages/shared/src/ogretici.ts:496"
t4e75a5e8,motor,"Araştırmanın girişi ana sayfada. Önce oraya dönelim lordum.","The research entrance is on the homepage. Let's head back there first, my lord.","packages/shared/src/rehber.ts:396"
t67406112,motor,"Artık bir general tutabilirsin. Onlar ordunun değil, ORDUNUN KURALLARININ gücüdür.","You can now hire a general. They are the power of the ARMY'S RULES, not just the army.","packages/shared/src/rehber.ts:98"
t73fc092c,motor,"Asker eğitimi +{0} hızlı","Troop training +{0} faster","packages/shared/src/arastirma.ts:164"
t356af316,motor,"Asker eğitimi başlat","Start troop training","packages/shared/src/gunluk.ts:59"
t5183aa53,motor,"Asker eğitmek, ekipman dövmek ve bölge geliştirmek bunlarla olur.","Training troops, forging equipment, and developing regions require these.","packages/shared/src/ogretici.ts:289"
t8b6663c9,motor,"Asker maliyeti −{0}","Troop cost −{0}","packages/shared/src/arastirma.ts:166"
teeae7b24,motor,"Askerlerin eğitiliyor lordum. Şuracıkta bekle, bittiğinde haber vereceğim.","Your troops are training, my lord. Wait right here, I'll let you know when it's done.","packages/shared/src/rehber.ts:468"
t198149c0,motor,"Aynı anda {0} araştırma","{0} researches at once","packages/shared/src/ogretici.ts:517"
t7009e0ca,motor,"Aynı anda {0} araştırma yürütebilirsin, yani sıra senin kararın: önce ekonomiyi mi büyütürsün, orduyu mu? Vazgeçersen harcadığının %{1}'i geri gelir.","You can run {0} researches at once, so the order is your decision: do you grow the economy first, or the army? If you cancel, {1}% of what you spent is refunded.","packages/shared/src/ogretici.ts:518"
tabbe5d66,motor,"Aynı anda {0} birim komuta edebilirsin; Liderlik her puanda {1} birim daha ekler. Ordu istediğin kadar büyümez.","You can command {0} units at once; Leadership adds {1} more units per point. The army does not grow as large as you like.","packages/shared/src/ogretici.ts:336"
t7dc15b82,motor,"Aynı anda en fazla {0} başvurun olabilir. Birini geri çek.","You can have a maximum of {0} applications at once. Withdraw one.","packages/shared/src/ittifakBasvuru.ts:115"
t2868622a,motor,"Aynı anda tek araştırma","Only one research at a time","packages/shared/src/ogretici.ts:516"
t99a5b60d,motor,"Aynı kaynağı kendisiyle takas edemezsin.","You cannot trade the same resource for itself.","packages/shared/src/pazar.ts:130"
t28880c8b,motor,"Aynı savaş motoru, aynı dizilim, aynı taktik, aynı kayıp. Yaralıların hastaneye girer. Burada öğrendiğin her şey karşındaki lorda karşı da geçerli.","The same battle engine, the same formation, the same tactic, the same losses. Your wounded go to the hospital. Everything you learn here also applies against a rival lord.","packages/shared/src/ogretici.ts:450"
t0e7da755,motor,"Aynı vilayette topla","Gather in the same province","packages/shared/src/ogretici.ts:489"
tb91d22ec,motor,"Aynı vilayette tuttuğun her fazladan bölge, oradaki bütün bölgelerinin gelirini %{0} artırır (en çok %{1}). Dağınık üç bölge ile bitişik üç bölge aynı şey değil.","Every extra region you hold in the same province raises the income of all your regions there by {0}% (up to {1}%). Three scattered regions and three adjacent regions are not the same thing.","packages/shared/src/ogretici.ts:490"
te76587c7,motor,"Başarımlar","Achievements","packages/shared/src/ogretici.ts:600"
t61dd4ca7,motor,"Başka bir sebep","Another reason","packages/shared/src/moderasyon.ts:55"
t5ab920cc,motor,"Başlarken kimse sana saldıramaz. Kalkan, sen ilk saldırını yaptığında düşer — hazır olduğuna kendin karar veriyorsun.","Nobody can attack you at the start. The shield drops when you make your first attack — you decide yourself when you are ready.","packages/shared/src/ogretici.ts:530"
t675e7549,motor,"Beş düşman diyarı, her birinde on kamp. Kaynak ve ekipman.","Five enemy realms, ten camps in each. Resources and equipment.","packages/shared/src/ogretici.ts:440"
t99ca54fc,motor,"Bilinmeyen birim: {0}","Unknown unit: {0}","packages/shared/src/progression.ts:181"
t8baee2f4,motor,"Bilinmeyen karar.","Unknown decision.","packages/shared/src/moderasyon.ts:203"
t25c219f6,motor,"Binalar seninle taşınır","Buildings move with you","packages/shared/src/ogretici.ts:431"
t2106fa1d,motor,"Bir akın","A raid","packages/shared/src/gunluk.ts:58"
t01bfb670,motor,"Bir ateş, birkaç çadır. Henüz toprağın yok.","A fire, a few tents. You don't have land yet.","packages/shared/src/bina.ts:65"
td5f45734,motor,"Bir bölgenin geliri kâğıt üstündeki sahibine değil, ORADA DURAN garnizonlara gider — bıraktıkları komuta yeri oranında. Askerini çekersen bölge medeniyetinden gitmez ama senin gelirin durur. Bölge bölünemez; bölgedeki pay bölünür.","","packages/shared/src/ogretici.ts:266"
t0628661e,motor,"Bir bölgeye saldırı gönder","Send an attack to a region","packages/shared/src/gunluk.ts:58"
tea6d7940,motor,"Bir bölgeyi ezici bir üstünlükle alırsan bölge medeniyetine yazılır ve sağ kalan askerlerin orada garnizon olarak kalır — payını o andan itibaren almaya başlarsın. Yaralılar ve ganimet eve döner. Dar kazanırsan yalnız yağmalarsın: kaynağı alır, bölgeyi bırakırsın.","","packages/shared/src/ogretici.ts:399"
t0704a055,motor,"Bir bölgeyi yükseltmek onun gelirini ve savunmasını artırır; oradaki garnizonunun payı da aynı oranda büyür. Yeni bölge almaktan çoğu zaman daha kârlıdır.","","packages/shared/src/ogretici.ts:472"
t95df1932,motor,"Bir ekipman parçası yalnız lorda etki eder; general bütün orduya. Yuvan varsa boş bırakma.","A piece of equipment only affects the lord; a general affects the whole army. If you have a slot, don't leave it empty.","packages/shared/src/ipuclari.ts:59"
t5ea923d4,motor,"Bir grup seç lordum. En üsttekiler en zayıfı; ilkiyle başlayalım.","Select a group, my lord. The ones at the top are the weakest; let's start with the first one.","packages/shared/src/rehber.ts:335"
t8be1fc5a,motor,"Bir sebep seç.","Select a reason.","packages/shared/src/moderasyon.ts:83"
t83ca86e1,motor,"Bir şey başlat, kapat","Start something, close it","packages/shared/src/ogretici.ts:585"
te0c43c35,motor,"Bir üyenin bölgesine asker yollayıp savunmasını güçlendirebilir, lider olarak haritada ortak bir hedef işaretleyebilirsin.","You can send troops to a member's region to strengthen its defense, and as leader you can mark a common target on the map.","packages/shared/src/ogretici.ts:563"
t4a018316,motor,"Birimler birbirini kırar. Kimi göndereceğin, kaç kişi olduğundan önemli.","Units counter each other. Who you send is more important than how many.","packages/shared/src/ogretici.ts:324"
te9270bdb,motor,"bölge geliri","region income","packages/shared/src/etki-adi.ts:32 | packages/shared/src/medeniyet.ts:202"
tdbe1a320,motor,"Bölge geliri +{0}","Region income +{0}","packages/shared/src/arastirma.ts:162"
t7938bab6,motor,"Bölge geliştir","Develop region","packages/shared/src/ogretici.ts:470"
tb2bd7b65,motor,"Bölge geliştirme +{0} hızlı","Region development +{0} faster","packages/shared/src/arastirma.ts:182"
tb35945df,motor,"Bölge seviyesi geliri büyütür","Region level increases income","packages/shared/src/ipuclari.ts:66"
tbe214511,motor,"Bölge sınırı","Region limit","packages/shared/src/ogretici.ts:485"
t088fa673,motor,"Bölge, ekipman ve general. Üçü de aynı anda ilerler.","Region, equipment, and general. All three progress simultaneously.","packages/shared/src/ogretici.ts:467"
t5029c76e,motor,"Bölgeler tek kaynak üretir: şehir altın, maden demir, tarla erzak. Malikâne pazarında birini diğerine çevirebilirsin — komisyon %{0}, günlük hacim {1} altın karşılığıyla sınırlı. Takas boşluğu kapatır, üretimin yerini tutmaz.","Regions produce a single resource: city gold, mine iron, farm supplies. In the manor market you can convert one into another — {0}% commission, daily volume limited to {1} gold worth. Trade closes a gap, it does not replace production.","packages/shared/src/ogretici.ts:317"
tc2a2bfe8,motor,"Bölgen yağmalandıysa kısa bir süre dokunulmaz olur. Farklı saldırganların sırayla gelip seni bir gecede silmesi böyle engelleniyor.","If your region has been looted it becomes untouchable for a short while. This is what stops different attackers coming one after another and wiping you out in a single night.","packages/shared/src/ogretici.ts:535"
t021ce3fd,motor,"Bölgeni haritadan açacağız; yol ana sayfadaki adımdan geçiyor.","We will unlock your region from the map; the way goes through the step on the homepage.","packages/shared/src/rehber.ts:383"
t528210ff,motor,"Bölgeyi yükselt. Aynı toprak daha çok verir, üstelik savunması da artar — yeni yer almadan güçlenmenin yolu bu.","Upgrade the region. The same land gives more, and its defense rises too — this is how you grow stronger without taking new ground.","packages/shared/src/rehber.ts:378"
t3cc043ca,motor,"Böyle bir kaynak yok.","No such resource exists.","packages/shared/src/pazar.ts:127"
t7a969da9,motor,"Böyle bir medeniyet yok.","","packages/shared/src/medeniyet.ts:376"
te324d369,motor,"Bu düğme askerleri kışlaya yazdırır. Sayıyı senin için hazır seçtim — hedefi almaya yetecek kadarı bu.","This button enrols soldiers in the barracks. I have picked the number for you — this is enough to take the target.","packages/shared/src/rehber.ts:294"
t7236f103,motor,"Bu düğme orduyu yola çıkarır. Geri dönüşü yok — ama hesabı yaptım: bu bölge medeniyetine yazılır, ordun orada kalır ve gelirin o günden sonra oradan akar.","","packages/shared/src/rehber.ts:404"
tee4272d0,motor,"Bu ittifağa zaten başvurdun, cevap bekleniyor.","You have already applied to this alliance, awaiting a response.","packages/shared/src/ittifakBasvuru.ts:96"
t5874fc4f,motor,"Bu ittifak başvuru almıyor, doğrudan katılabilirsin.","This alliance is not taking applications, you can join directly.","packages/shared/src/ittifakBasvuru.ts:84"
tfcbe1de2,motor,"Bu ittifak başvurunu reddetti. {0} saat sonra yeniden başvurabilirsin.","This alliance rejected your application. You can reapply in {0} hours.","packages/shared/src/ittifakBasvuru.ts:104"
te8fc7ecc,motor,"Bu ittifak başvuruyla üye alıyor. Başvurup liderin onayını beklemelisin.","This alliance recruits by application. You must apply and wait for the leader's approval.","packages/shared/src/ittifakBasvuru.ts:154"
t0e5095cd,motor,"Bu ittifak en az Sv{0} istiyor. Sen Sv{1}'sin.","This alliance requires at least Lv{0}. You are Lv{1}.","packages/shared/src/ittifakBasvuru.ts:170 | packages/shared/src/ittifakBasvuru.ts:92"
tbd18938b,motor,"Bu oyun beklemeli. Günde birkaç dakika yeter.","This is an idle game. A few minutes a day is enough.","packages/shared/src/ogretici.ts:582"
t2bfaec94,motor,"Bu parçayı kuşan. Ekipman ordunun sayısını değil, senin savaşa kattığın gücü büyütür — aynı orduyla daha sert vurursun.","Equip this piece. Equipment does not grow your army's numbers, it grows the power you bring to the battle — you hit harder with the same army.","packages/shared/src/rehber.ts:352"
t7d008c01,motor,"Bu şikâyette silinecek bir mesaj yok.","There is no message to delete in this report.","packages/shared/src/moderasyon.ts:206"
t438772cd,motor,"Bugün en fazla {0} {1} daha takas edebilirsin.","You can trade at most {0} {1} more today.","packages/shared/src/pazar.ts:150"
t6615c06c,motor,"Bugünkü pazar hakkın doldu. Yarın yenilenir.","Your market limit for today is reached. It will reset tomorrow.","packages/shared/src/pazar.ts:149"
tcea5d93d,motor,"Bunu başlat. Hangisini seçtiğin senin kararın — araştırma kalıcıdır ve diyarını başka lordlarınkinden ayıran tek katman odur.","Start this one. Which you choose is your decision — research is permanent and it is the only layer that sets your realm apart from other lords'.","packages/shared/src/rehber.ts:391"
tb9f51888,motor,"Bunu kirala. General tek bir askeri değil ORDUNUN KURALLARINI değiştirir; bir generalin etkisi bütün birliklerine birden işler.","Hire this one. A general changes not a single soldier but the ARMY'S RULES; a general's effect applies to all your troops at once.","packages/shared/src/rehber.ts:365"
t0ca004f7,motor,"Burası bir diyar, sen bir lordsun","This is a realm, you are a lord","packages/shared/src/ogretici.ts:201"
t80539337,motor,"Bütün bölgelerini kaybetsen bile taban gelirin akmaya devam eder: saatte {0} altın. Bir kampa çekilirsin, binaların durur ve yeni bir yerleşim alınca kaldığın yerden devam edersin.","Even if you lose all your regions your base income keeps flowing: {0} gold per hour. You fall back to a camp, your buildings pause, and when you take a new settlement you continue where you left off.","packages/shared/src/ogretici.ts:224"
tc8dcc54d,motor,"Büyümenin üç yolu","Three ways to grow","packages/shared/src/ogretici.ts:466"
t91c31dd1,motor,"Casusluk −{0} ucuz","Espionage −{0} cheaper","packages/shared/src/arastirma.ts:184"
tfcce622f,motor,"Çamurlu bir yol, ahşap evler, bir palisad.","A muddy road, wooden houses, a palisade.","packages/shared/src/bina.ts:66"
t37b4cd38,motor,"Çekirdeğe bağış herkese yarar","","packages/shared/src/ipuclari.ts:71"
